"Date","Price","Open","High","Low","Vol.","Change %"
"14-07-2025","1,433.00","1,432.00","1,446.50","1,426.10","718.44K","0.09%"
"11-07-2025","1,431.70","1,444.00","1,453.90","1,428.30","819.86K","-0.79%"
"10-07-2025","1,443.10","1,444.00","1,450.20","1,437.20","1.04M","0.01%"
"09-07-2025","1,443.00","1,448.40","1,455.80","1,438.30","1.01M","-0.38%"
"08-07-2025","1,448.50","1,438.00","1,449.90","1,430.00","824.94K","0.90%"
"07-07-2025","1,435.60","1,424.40","1,437.80","1,417.00","764.52K","0.79%"
"04-07-2025","1,424.40","1,432.00","1,439.90","1,416.60","608.46K","-0.47%"
"03-07-2025","1,431.10","1,444.00","1,451.10","1,426.70","978.01K","-0.89%"
"02-07-2025","1,443.90","1,458.00","1,458.00","1,440.00","1.22M","-0.21%"
"01-07-2025","1,447.00","1,450.30","1,459.80","1,442.00","2.13M","-0.22%"
"30-06-2025","1,450.20","1,440.80","1,453.50","1,432.70","1.59M","0.69%"
"27-06-2025","1,440.20","1,434.90","1,456.80","1,427.00","2.89M","0.76%"
"26-06-2025","1,429.30","1,399.00","1,433.00","1,395.20","2.88M","2.60%"
"25-06-2025","1,393.10","1,399.70","1,404.00","1,385.50","1.92M","0.26%"
"24-06-2025","1,389.50","1,395.10","1,418.70","1,385.10","7.64M","2.56%"
"23-06-2025","1,354.80","1,341.00","1,364.90","1,335.70","3.92M","0.41%"
"20-06-2025","1,349.30","1,338.00","1,356.70","1,334.60","4.54M","0.84%"
"19-06-2025","1,338.00","1,370.50","1,372.60","1,331.60","2.95M","-2.52%"
"18-06-2025","1,372.60","1,387.00","1,395.20","1,365.20","1.73M","-1.41%"
"17-06-2025","1,392.30","1,400.50","1,414.80","1,384.00","1.57M","-0.59%"
"16-06-2025","1,400.60","1,389.00","1,411.20","1,375.00","2.82M","-0.31%"
"13-06-2025","1,405.00","1,405.00","1,423.80","1,397.10","3.38M","-2.82%"
"12-06-2025","1,445.80","1,459.80","1,465.60","1,440.10","2.19M","-0.73%"
"11-06-2025","1,456.40","1,473.80","1,476.00","1,448.80","2.19M","-1.18%"
"10-06-2025","1,473.80","1,472.00","1,494.00","1,469.80","2.13M","0.46%"
"09-06-2025","1,467.10","1,482.00","1,484.00","1,463.10","1.49M","-0.31%"
"06-06-2025","1,471.70","1,456.70","1,478.90","1,453.70","1.27M","1.03%"
"05-06-2025","1,456.70","1,443.80","1,467.70","1,438.00","2.02M","1.43%"
"04-06-2025","1,436.20","1,432.30","1,441.10","1,423.10","1.45M","0.27%"
"03-06-2025","1,432.30","1,470.00","1,472.00","1,426.70","3.68M","-2.43%"
"02-06-2025","1,468.00","1,432.80","1,482.00","1,425.30","3.16M","2.46%"
"30-05-2025","1,432.80","1,442.00","1,457.50","1,428.80","2.58M","-0.40%"
"29-05-2025","1,438.60","1,421.00","1,441.00","1,410.50","1.66M","1.96%"
"28-05-2025","1,411.00","1,405.00","1,427.80","1,403.00","2.04M","0.48%"
"27-05-2025","1,404.20","1,397.00","1,419.00","1,385.40","2.57M","0.29%"
